year,month,day,dow,don,color,wnum,tmp1,tmp2,tmp3
2020,10,12,Mon,,,3,10月12日,Mon,3
2020,10,13,Tue,,,3,10月13日,Tue,3
2020,10,14,Wed,,,3,10月14日,Wed,3
2020,10,15,Thu,,,3,10月15日,Thu,3
2020,10,16,Fri,,,3,10月16日,Fri,3
2020,10,17,Sat,,FFD9C1,3,10月17日,Sat,3
2020,10,18,Sun,,FFB6C1,4,10月18日,Sun,4
2020,10,19,Mon,,,4,10月19日,Mon,4
2020,10,20,Tue,,,4,10月20日,Tue,4
2020,10,21,Wed,,,4,10月21日,Wed,4
2020,10,22,Thu,,,4,10月22日,Thu,4
2020,10,23,Fri,,,4,10月23日,Fri,4
2020,10,24,Sat,,FFD9C1,4,10月24日,Sat,4
2020,10,25,Sun,,FFB6C1,5,10月25日,Sun,5
2020,10,26,Mon,,,5,10月26日,Mon,5
2020,10,27,Tue,,,5,10月27日,Tue,5
2020,10,28,Wed,,,5,10月28日,Wed,5
2020,10,29,Thu,,,5,10月29日,Thu,5
2020,10,30,Fri,,,5,10月30日,Fri,5
2020,10,31,Sat,,FFD9C1,5,10月31日,Sat,5
2020,11,1,Sun,,FFB6C1,1,11月1日,Sun,1
2020,11,2,Mon,,,1,11月2日,Mon,1
2020,11,3,Tue,Culture Day,FFB6C1,1,11月3日,Tue,1
2020,11,4,Wed,,,1,11月4日,Wed,1
2020,11,5,Thu,,,1,11月5日,Thu,1
2020,11,6,Fri,,,1,11月6日,Fri,1
2020,11,7,Sat,,FFD9C1,1,11月7日,Sat,1
2020,11,8,Sun,,FFB6C1,2,11月8日,Sun,2
2020,11,9,Mon,,,2,11月9日,Mon,2
2020,11,10,Tue,,,2,11月10日,Tue,2
2020,11,11,Wed,,,2,11月11日,Wed,2
2020,11,12,Thu,,,2,11月12日,Thu,2
2020,11,13,Fri,,,2,11月13日,Fri,2
2020,11,14,Sat,,FFD9C1,2,11月14日,Sat,2
2020,11,15,Sun,,FFB6C1,3,11月15日,Sun,3
2020,11,16,Mon,,,3,11月16日,Mon,3
2020,11,17,Tue,,,3,11月17日,Tue,3
2020,11,18,Wed,,,3,11月18日,Wed,3
2020,11,19,Thu,,,3,11月19日,Thu,3
2020,11,20,Fri,,,3,11月20日,Fri,3
2020,11,21,Sat,,FFD9C1,3,11月21日,Sat,3
2020,11,22,Sun,,FFB6C1,4,11月22日,Sun,4
2020,11,23,Mon,Labor Thanksgiving Day,FFB6C1,4,11月23日,Mon,4
2020,11,24,Tue,,,4,11月24日,Tue,4
2020,11,25,Wed,,,4,11月25日,Wed,4
2020,11,26,Thu,,,4,11月26日,Thu,4
2020,11,27,Fri,,,4,11月27日,Fri,4
2020,11,28,Sat,,FFD9C1,4,11月28日,Sat,4
2020,11,29,Sun,,FFB6C1,5,11月29日,Sun,5
2020,11,30,Mon,,,5,11月30日,Mon,5
2020,12,1,Tue,,,1,12月1日,Tue,1
2020,12,2,Wed,,,1,12月2日,Wed,1
2020,12,3,Thu,,,1,12月3日,Thu,1
2020,12,4,Fri,,,1,12月4日,Fri,1
2020,12,5,Sat,,FFD9C1,1,12月5日,Sat,1
2020,12,6,Sun,,FFB6C1,2,12月6日,Sun,2
2020,12,7,Mon,,,2,12月7日,Mon,2
2020,12,8,Tue,,,2,12月8日,Tue,2
2020,12,9,Wed,,,2,12月9日,Wed,2
2020,12,10,Thu,,,2,12月10日,Thu,2
2020,12,11,Fri,,,2,12月11日,Fri,2
2020,12,12,Sat,,FFD9C1,2,12月12日,Sat,2
2020,12,13,Sun,,FFB6C1,3,12月13日,Sun,3
2020,12,14,Mon,,,3,12月14日,Mon,3
2020,12,15,Tue,,,3,12月15日,Tue,3
2020,12,16,Wed,,,3,12月16日,Wed,3
2020,12,17,Thu,,,3,12月17日,Thu,3
2020,12,18,Fri,,,3,12月18日,Fri,3
2020,12,19,Sat,,FFD9C1,3,12月19日,Sat,3
2020,12,20,Sun,,FFB6C1,4,12月20日,Sun,4
2020,12,21,Mon,,,4,12月21日,Mon,4
2020,12,22,Tue,,,4,12月22日,Tue,4
2020,12,23,Wed,,,4,12月23日,Wed,4
2020,12,24,Thu,,,4,12月24日,Thu,4
2020,12,25,Fri,,,4,12月25日,Fri,4
2020,12,26,Sat,,FFD9C1,4,12月26日,Sat,4
2020,12,27,Sun,,FFB6C1,5,12月27日,Sun,5
2020,12,28,Mon,,,5,12月28日,Mon,5
2020,12,29,Tue,,,5,12月29日,Tue,5
2020,12,30,Wed,,,5,12月30日,Wed,5
2020,12,31,Thu,,,5,12月31日,Thu,5
